## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/preprocessing/SIMULATED_SAMPLE_chr22_aligned.bam --OUTPUT results/preprocessing/SIMULATED_SAMPLE_chr22_marked.bam --METRICS_FILE results/preprocessing/SIMULATED_SAMPLE_chr22_dup_metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Feb 15 09:56:38 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	7826365	746	0	0	4393	0	0.000561	6968935368

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7817583	7817583
2.0	1.998878	4385	4385
3.0	2.996634	4	4
4.0	3.993271	0	0
5.0	4.988789	0	0
6.0	5.983189	0	0
7.0	6.976474	0	0
8.0	7.968643	0	0
9.0	8.959699	0	0
10.0	9.949643	0	0
11.0	10.938475	0	0
12.0	11.926198	0	0
13.0	12.912812	0	0
14.0	13.898318	0	0
15.0	14.882719	0	0
16.0	15.866014	0	0
17.0	16.848206	0	0
18.0	17.829296	0	0
19.0	18.809284	0	0
20.0	19.788172	0	0
21.0	20.765962	0	0
22.0	21.742654	0	0
23.0	22.71825	0	0
24.0	23.692751	0	0
25.0	24.666158	0	0
26.0	25.638473	0	0
27.0	26.609696	0	0
28.0	27.579829	0	0
29.0	28.548873	0	0
30.0	29.51683	0	0
31.0	30.4837	0	0
32.0	31.449485	0	0
33.0	32.414186	0	0
34.0	33.377804	0	0
35.0	34.340341	0	0
36.0	35.301797	0	0
37.0	36.262174	0	0
38.0	37.221473	0	0
39.0	38.179695	0	0
40.0	39.136842	0	0
41.0	40.092915	0	0
42.0	41.047914	0	0
43.0	42.001842	0	0
44.0	42.954699	0	0
45.0	43.906486	0	0
46.0	44.857205	0	0
47.0	45.806857	0	0
48.0	46.755443	0	0
49.0	47.702965	0	0
50.0	48.649423	0	0
51.0	49.594818	0	0
52.0	50.539153	0	0
53.0	51.482428	0	0
54.0	52.424643	0	0
55.0	53.365802	0	0
56.0	54.305904	0	0
57.0	55.24495	0	0
58.0	56.182943	0	0
59.0	57.119883	0	0
60.0	58.055771	0	0
61.0	58.990609	0	0
62.0	59.924398	0	0
63.0	60.857138	0	0
64.0	61.788832	0	0
65.0	62.71948	0	0
66.0	63.649083	0	0
67.0	64.577643	0	0
68.0	65.505161	0	0
69.0	66.431637	0	0
70.0	67.357074	0	0
71.0	68.281472	0	0
72.0	69.204833	0	0
73.0	70.127157	0	0
74.0	71.048446	0	0
75.0	71.9687	0	0
76.0	72.887922	0	0
77.0	73.806113	0	0
78.0	74.723272	0	0
79.0	75.639402	0	0
80.0	76.554504	0	0
81.0	77.468579	0	0
82.0	78.381628	0	0
83.0	79.293652	0	0
84.0	80.204652	0	0
85.0	81.11463	0	0
86.0	82.023587	0	0
87.0	82.931523	0	0
88.0	83.83844	0	0
89.0	84.744339	0	0
90.0	85.649222	0	0
91.0	86.553089	0	0
92.0	87.455941	0	0
93.0	88.35778	0	0
94.0	89.258607	0	0
95.0	90.158422	0	0
96.0	91.057228	0	0
97.0	91.955025	0	0
98.0	92.851814	0	0
99.0	93.747597	0	0
100.0	94.642374	0	0

