# This file was produced by samtools stats (1.22.1+htslib-1.22.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats results/preprocessing/SIMULATED_SAMPLE_chr22_final.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c6a64ac3	10471ba7	2ac27b72
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	15276922	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	15276922
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	7638462
SN	last fragments:	7638460
SN	reads mapped:	15276922
SN	reads mapped and paired:	15276922	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	15276895	# proper-pair bit set
SN	reads paired:	15276922	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	2291538300	# ignores clipping
SN	total first fragment length:	1145769300	# ignores clipping
SN	total last fragment length:	1145769000	# ignores clipping
SN	bases mapped:	2291538300	# ignores clipping
SN	bases mapped (cigar):	2291224042	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	6778988	# from NM fields
SN	error rate:	2.958675e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	31.1
SN	insert size average:	348.2
SN	insert size standard deviation:	48.4
SN	inward oriented pairs:	7638393
SN	outward oriented pairs:	3
SN	pairs with other orientation:	1
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	10	0	0	0	3728	0	0	0	0	0	0	0	0	164383	0	0	0	0	0	32259	0	0	0	725286	0	0	6712796	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	89	0	0	574	889	2009	1824	0	0	0	0	10346	17114	13450	52992	7877	0	7991	3811	8927	128189	11959	47979	110109	99224	514516	395818	1593876	3014400	1057877	536622	0	0	0	0	0
FFQ	3	0	0	0	198	0	0	1208	1748	4245	11251	0	0	0	0	62183	105368	81137	326570	47380	0	13123	16582	38804	158463	52657	78958	182761	163159	588238	369886	1370963	2591490	910524	461566	0	0	0	0	0
FFQ	4	0	0	0	178	0	0	1038	1614	3584	9727	0	0	0	0	53922	90557	68039	280491	41234	0	7421	4568	10808	32104	14575	137495	102748	91779	215105	83295	483120	1335957	2321904	1816035	0	431164	0	0	0
FFQ	5	0	0	0	91	0	0	399	564	1419	2808	0	0	0	0	15754	26293	19832	81501	11957	0	4277	1741	4169	6221	20041	129595	60457	53739	99658	61791	343744	1234658	2818100	2087660	67042	484951	0	0	0
FFQ	6	0	0	0	379	0	0	2180	3267	7934	1944	0	0	0	0	10700	18008	13903	55806	8246	0	2981	3149	7233	21717	9804	126548	40802	36380	97624	47089	461563	1372085	2672104	2108175	0	508841	0	0	0
FFQ	7	0	0	0	388	0	0	2288	3318	7825	2005	0	0	0	0	10864	18195	13909	56290	8390	0	2667	2643	6289	9532	17631	126822	37291	33208	61422	39459	347613	1238015	2854745	2175401	43252	519000	0	0	0
FFQ	8	0	0	0	434	0	0	2248	3408	8096	1828	0	0	0	0	10204	17417	13383	53671	7879	0	2546	2726	6274	18099	8418	127514	35610	32122	83851	38640	439310	1341364	2711593	2148878	0	522949	0	0	0
FFQ	9	0	0	0	370	0	0	2126	3192	7548	1789	0	0	0	0	9941	17103	12257	50969	7370	0	5065	5974	9224	16269	0	127053	33600	30204	78129	35650	433797	1335229	2727998	2161360	0	526245	0	0	0
FFQ	10	0	0	0	381	0	0	2140	3024	7346	1662	0	0	0	0	9410	15791	12112	49102	7105	0	2363	2622	6311	17182	8325	127018	33402	29443	77541	35238	432695	1331020	2732628	2166190	0	528411	0	0	0
FFQ	11	0	0	0	353	0	0	2005	3046	7199	1681	0	0	0	0	9251	15307	11923	47805	7020	0	2347	2753	6154	17115	8460	127002	32992	29641	76459	34911	431134	1332091	2734790	2168854	0	528169	0	0	0
FFQ	12	0	0	0	373	0	0	2083	3142	7466	1705	0	0	0	0	9262	15528	11960	48100	7115	0	2389	2713	6429	17485	8818	126989	33800	29946	77662	35450	431788	1331345	2734528	2165930	0	526456	0	0	0
FFQ	13	0	0	0	453	0	0	2540	3805	9185	1834	0	0	0	0	9782	16612	12793	51745	7553	0	2533	3186	7374	19520	10027	127992	35848	32269	83078	37674	436545	1335204	2716188	2150351	0	524371	0	0	0
FFQ	14	0	0	0	421	0	0	2520	3720	8925	1808	0	0	0	0	10035	16851	13169	52929	7702	0	2629	3314	7383	19303	10113	127811	36412	32918	83028	36503	431804	1066122	2286334	2459771	392028	130648	394261	0	0
FFQ	15	0	0	0	425	0	0	2422	3596	8400	1761	0	0	0	0	9991	16516	12940	51718	7612	0	2630	3305	7544	19271	10231	128132	36031	32106	81876	36480	432462	1065992	2287987	2461320	393174	131505	393035	0	0
FFQ	16	0	0	0	432	0	0	2447	3522	8272	1798	0	0	0	0	9943	17171	12232	51730	7504	0	5992	7512	11574	18152	0	127383	35600	31800	81415	36668	432204	1069728	2287831	2459665	392521	131631	393735	0	0
FFQ	17	0	0	0	498	0	0	2570	3863	8951	1788	0	0	0	0	10035	16527	12867	51729	7589	0	2586	3391	7731	19807	10761	127480	35758	32108	81727	36968	433483	1068722	2290058	2456627	390460	133536	390842	0	0
FFQ	18	0	0	0	447	0	0	2534	3840	8855	1784	0	0	0	0	9858	16639	13253	52122	7799	0	2643	3496	8454	20768	11300	127974	36126	32647	82815	37075	433105	1070704	2288846	2452376	389083	134366	389553	0	0
FFQ	19	0	0	0	482	0	0	2633	3834	9088	1697	0	0	0	0	9827	16329	12880	51022	7578	0	2454	3715	8727	20999	11681	127217	36027	31986	81799	36701	432606	1068806	2283819	2455785	394965	130451	395354	0	0
FFQ	20	0	0	0	467	0	0	2751	4020	9608	1817	0	0	0	0	9729	17156	12397	51009	7660	0	6350	8857	13771	20305	0	128228	35441	32050	82675	36814	433302	1069952	2284013	2453484	392537	130781	393288	0	0
FFQ	21	0	0	0	514	0	0	2857	4244	10031	1829	0	0	0	0	9914	16529	12865	50853	7497	0	2642	4089	9429	22723	12812	127874	35772	32419	82429	37076	435609	1070866	2284728	2449257	390627	132521	390456	0	0
FFQ	22	0	0	0	546	0	0	3061	4559	10644	1724	0	0	0	0	9399	16753	11739	49363	7414	2534	4356	10014	15483	21685	15340	147624	31353	58845	35091	25301	433797	1072836	2286877	2451378	388897	133491	388358	0	0
FFQ	23	0	0	0	545	0	0	3311	4778	11272	1680	0	0	0	0	9295	15610	12319	48245	7137	0	2562	4607	10742	24608	14416	126638	34866	31717	81443	37294	435808	1074145	2285967	2449817	386404	136750	386486	0	0
FFQ	24	0	0	0	569	0	0	3258	4920	11979	1622	0	0	0	0	9234	15198	12121	47697	7022	0	2568	4989	11317	16948	23554	126780	34652	31464	57919	35387	347926	974853	2426989	2481991	424925	136129	386451	0	0
FFQ	25	0	0	0	646	0	0	3690	5591	13209	1670	0	0	0	0	9016	15095	12192	47115	7108	0	2534	5102	12101	26842	16328	126210	35007	31406	82087	37855	436897	1077665	2285803	2442083	383915	137994	383301	0	0
FFQ	26	0	0	0	695	0	0	4015	5961	14015	1558	0	0	0	0	8969	14940	11925	46575	6965	0	2589	5422	12489	27337	16862	125916	34143	30952	81026	37572	437689	1080282	2287158	2438573	383436	138553	382845	0	0
FFQ	27	0	0	0	723	0	0	4259	6472	15419	1527	0	0	0	0	8876	15808	11110	46528	6903	0	8439	13638	21145	26781	0	126430	34627	31344	82518	38036	438137	1081412	2285472	2430889	381021	139609	381339	0	0
FFQ	28	0	0	0	781	0	0	4502	6783	15963	1611	0	0	0	0	8565	14482	11932	45084	6619	0	2527	6078	13976	30177	19191	126317	34543	30800	82091	38581	440427	1084602	2285320	2429280	378247	141903	378080	0	0
FFQ	29	0	0	0	868	0	0	4951	7417	17228	1522	0	0	0	0	8432	15135	10492	43552	6496	2430	6701	15266	23793	29614	14731	144960	30435	55919	36306	27030	440141	1090176	2286980	2424826	374062	144835	374164	0	0
FFQ	30	0	0	0	972	0	0	5238	7809	18784	1427	0	0	0	0	8273	13388	11282	42286	6291	0	2388	6970	15687	32781	52313	94241	33905	30415	81432	128403	664066	1514977	2139622	1834808	518071	0	372633	0	0
