# This file was produced by bcftools stats (1.22+htslib-1.22.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /home/hxt/phase-1/20260213-r2-final/results/variants/freebayes/SIMULATED_SAMPLE_chr22_freebayes_pass.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/home/hxt/phase-1/20260213-r2-final/results/variants/freebayes/SIMULATED_SAMPLE_chr22_freebayes_pass.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	29546
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	19699
SN	0	number of MNPs:	38
SN	0	number of indels:	9776
SN	0	number of others:	33
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	13020	6679	1.95	13020	6679	1.95
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	2	2	0	34	0	0	34
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2	2	0	34	0	0	34
AF	0	0.990000	19697	13018	6679	9742	0	0	9742
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	134.7	0	0	0	1
QUAL	0	146.7	0	0	0	1
QUAL	0	147.3	0	0	0	1
QUAL	0	152.8	0	0	0	1
QUAL	0	159.5	0	0	0	1
QUAL	0	167.3	0	0	0	1
QUAL	0	167.4	0	0	0	1
QUAL	0	168.9	0	0	0	1
QUAL	0	171.6	0	0	0	1
QUAL	0	173.0	0	0	0	1
QUAL	0	175.3	0	0	0	1
QUAL	0	175.6	0	0	0	1
QUAL	0	177.2	0	0	0	1
QUAL	0	179.9	0	0	0	1
QUAL	0	180.5	0	0	0	1
QUAL	0	182.8	0	0	0	1
QUAL	0	183.7	1	0	1	0
QUAL	0	187.1	1	0	1	0
QUAL	0	187.5	1	0	1	0
QUAL	0	187.6	0	0	0	1
QUAL	0	188.0	0	0	0	1
QUAL	0	191.7	1	1	0	0
QUAL	0	192.7	0	0	0	1
QUAL	0	195.0	1	1	0	1
QUAL	0	195.4	0	0	0	1
QUAL	0	199.2	0	0	0	1
QUAL	0	200.5	0	0	0	1
QUAL	0	202.0	1	1	0	1
QUAL	0	202.8	1	1	0	0
QUAL	0	204.0	0	0	0	1
QUAL	0	204.8	0	0	0	1
QUAL	0	207.9	0	0	0	1
QUAL	0	209.5	0	0	0	1
QUAL	0	210.1	0	0	0	1
QUAL	0	210.6	0	0	0	1
QUAL	0	211.0	0	0	0	1
QUAL	0	214.4	1	0	1	0
QUAL	0	215.7	1	1	0	0
QUAL	0	217.1	0	0	0	2
QUAL	0	220.9	1	1	0	0
QUAL	0	225.3	1	1	0	0
QUAL	0	226.3	0	0	0	1
QUAL	0	227.1	0	0	0	1
QUAL	0	227.6	0	0	0	1
QUAL	0	228.8	0	0	0	1
QUAL	0	232.0	1	1	0	0
QUAL	0	232.3	0	0	0	1
QUAL	0	232.5	0	0	0	1
QUAL	0	233.7	0	0	0	1
QUAL	0	234.6	0	0	0	1
QUAL	0	234.9	0	0	0	1
QUAL	0	235.0	0	0	0	1
QUAL	0	236.7	0	0	0	1
QUAL	0	238.1	1	1	0	0
QUAL	0	238.4	0	0	0	1
QUAL	0	238.5	1	1	0	0
QUAL	0	239.2	0	0	0	1
QUAL	0	239.7	1	1	0	0
QUAL	0	240.5	1	1	0	0
QUAL	0	241.5	1	1	0	0
QUAL	0	244.7	1	1	0	0
QUAL	0	245.4	1	1	0	0
QUAL	0	245.8	0	0	0	1
QUAL	0	246.7	0	0	0	1
QUAL	0	247.0	0	0	0	1
QUAL	0	250.0	1	1	0	0
QUAL	0	251.6	1	1	0	0
QUAL	0	251.7	1	1	0	0
QUAL	0	254.8	0	0	0	1
QUAL	0	256.2	0	0	0	1
QUAL	0	256.9	0	0	0	1
QUAL	0	257.0	0	0	0	1
QUAL	0	258.9	1	1	0	0
QUAL	0	259.4	1	1	0	0
QUAL	0	259.6	0	0	0	1
QUAL	0	260.4	0	0	0	1
QUAL	0	260.7	1	0	1	0
QUAL	0	260.8	1	1	0	0
QUAL	0	261.2	1	1	0	0
QUAL	0	263.5	1	1	0	0
QUAL	0	263.8	1	1	0	1
QUAL	0	265.4	1	1	0	0
QUAL	0	267.4	0	0	0	1
QUAL	0	270.0	0	0	0	1
QUAL	0	271.6	0	0	0	1
QUAL	0	273.9	0	0	0	1
QUAL	0	274.0	0	0	0	1
QUAL	0	274.7	1	0	1	0
QUAL	0	276.9	0	0	0	1
QUAL	0	278.7	1	0	1	0
QUAL	0	280.5	1	1	0	0
QUAL	0	281.5	0	0	0	1
QUAL	0	284.3	0	0	0	1
QUAL	0	284.5	1	0	1	0
QUAL	0	285.5	0	0	0	1
QUAL	0	287.2	1	0	1	0
QUAL	0	287.9	0	0	0	1
QUAL	0	288.4	1	1	0	0
QUAL	0	288.5	0	0	0	1
QUAL	0	288.7	0	0	0	1
QUAL	0	291.4	0	0	0	1
QUAL	0	291.6	0	0	0	1
QUAL	0	291.9	0	0	0	1
QUAL	0	294.2	1	1	0	0
QUAL	0	297.8	0	0	0	1
QUAL	0	298.2	0	0	0	1
QUAL	0	300.4	1	1	0	0
QUAL	0	301.2	0	0	0	1
QUAL	0	301.4	1	1	0	0
QUAL	0	301.8	0	0	0	1
QUAL	0	302.5	0	0	0	1
QUAL	0	305.4	0	0	0	1
QUAL	0	306.4	0	0	0	1
QUAL	0	308.1	0	0	0	1
QUAL	0	308.7	1	0	1	0
QUAL	0	308.9	0	0	0	1
QUAL	0	309.6	0	0	0	1
QUAL	0	312.9	1	1	0	0
QUAL	0	313.5	1	1	0	0
QUAL	0	314.4	1	0	1	0
QUAL	0	314.5	1	0	1	0
QUAL	0	315.6	0	0	0	1
QUAL	0	316.5	0	0	0	1
QUAL	0	316.8	0	0	0	1
QUAL	0	317.4	0	0	0	1
QUAL	0	317.6	0	0	0	1
QUAL	0	318.4	1	1	0	0
QUAL	0	318.7	0	0	0	1
QUAL	0	318.9	0	0	0	1
QUAL	0	319.0	0	0	0	1
QUAL	0	320.2	0	0	0	1
QUAL	0	321.0	1	0	1	0
QUAL	0	322.9	0	0	0	1
QUAL	0	323.4	1	1	0	0
QUAL	0	324.4	1	0	1	0
QUAL	0	324.8	0	0	0	1
QUAL	0	325.3	0	0	0	1
QUAL	0	326.6	1	1	0	0
QUAL	0	326.7	1	0	1	0
QUAL	0	327.4	0	0	0	1
QUAL	0	327.8	0	0	0	1
QUAL	0	328.5	0	0	0	1
QUAL	0	328.6	1	1	0	0
QUAL	0	328.8	0	0	0	1
QUAL	0	329.1	0	0	0	1
QUAL	0	330.4	0	0	0	1
QUAL	0	331.0	0	0	0	1
QUAL	0	332.0	1	1	0	0
QUAL	0	332.9	0	0	0	1
QUAL	0	333.5	0	0	0	1
QUAL	0	334.0	1	0	1	0
QUAL	0	334.2	1	0	1	0
