# This file was produced by bcftools stats (1.22+htslib-1.22.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /home/hxt/phase-1/20260213-r2-final/results/variants/gatk/SIMULATED_SAMPLE_chr22_gatk_pass.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/home/hxt/phase-1/20260213-r2-final/results/variants/gatk/SIMULATED_SAMPLE_chr22_gatk_pass.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	29010
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	19112
SN	0	number of MNPs:	0
SN	0	number of indels:	9898
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	12635	6477	1.95	12635	6477	1.95
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	0	0	0	1	0	0	1
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	0	0	0	1	0	0	1
AF	0	0.990000	19112	12635	6477	9897	0	0	9897
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	35.4	1	0	1	0
QUAL	0	56.2	0	0	0	1
QUAL	0	57.3	1	1	0	0
QUAL	0	73.2	0	0	0	1
QUAL	0	89.8	0	0	0	1
QUAL	0	99.8	1	1	0	0
QUAL	0	101.8	0	0	0	1
QUAL	0	148.1	0	0	0	1
QUAL	0	210.9	0	0	0	1
QUAL	0	226.9	0	0	0	1
QUAL	0	227.9	0	0	0	1
QUAL	0	241.9	0	0	0	1
QUAL	0	286.0	0	0	0	1
QUAL	0	311.0	0	0	0	1
QUAL	0	322.0	0	0	0	1
QUAL	0	323.0	0	0	0	1
QUAL	0	341.0	0	0	0	1
QUAL	0	398.0	0	0	0	1
QUAL	0	399.0	1	1	0	0
QUAL	0	436.0	0	0	0	1
QUAL	0	450.0	0	0	0	1
QUAL	0	471.0	0	0	0	2
QUAL	0	481.0	0	0	0	1
QUAL	0	500.0	0	0	0	1
QUAL	0	512.0	0	0	0	2
QUAL	0	518.0	0	0	0	1
QUAL	0	526.0	0	0	0	1
QUAL	0	547.0	0	0	0	1
QUAL	0	560.0	0	0	0	1
QUAL	0	566.0	0	0	0	2
QUAL	0	585.0	0	0	0	1
QUAL	0	600.0	0	0	0	1
QUAL	0	606.0	0	0	0	1
QUAL	0	613.0	0	0	0	1
QUAL	0	616.0	0	0	0	1
QUAL	0	618.0	0	0	0	1
QUAL	0	621.0	0	0	0	2
QUAL	0	629.0	0	0	0	1
QUAL	0	632.0	0	0	0	2
QUAL	0	634.0	0	0	0	1
QUAL	0	658.0	0	0	0	1
QUAL	0	660.0	0	0	0	2
QUAL	0	661.0	0	0	0	3
QUAL	0	667.0	0	0	0	1
QUAL	0	686.0	0	0	0	1
QUAL	0	688.6	0	0	0	1
QUAL	0	694.0	0	0	0	1
QUAL	0	696.0	0	0	0	1
QUAL	0	698.0	0	0	0	1
QUAL	0	700.0	0	0	0	1
QUAL	0	701.0	0	0	0	1
QUAL	0	706.0	0	0	0	1
QUAL	0	714.0	0	0	0	1
QUAL	0	721.0	0	0	0	1
QUAL	0	726.0	0	0	0	1
QUAL	0	734.0	0	0	0	1
QUAL	0	747.0	0	0	0	1
QUAL	0	751.0	1	1	0	1
QUAL	0	754.0	0	0	0	1
QUAL	0	755.0	0	0	0	1
QUAL	0	764.0	1	0	1	0
QUAL	0	769.0	0	0	0	1
QUAL	0	771.0	0	0	0	3
QUAL	0	772.0	0	0	0	1
QUAL	0	785.0	0	0	0	1
QUAL	0	794.0	0	0	0	1
QUAL	0	796.0	0	0	0	2
QUAL	0	810.0	0	0	0	2
QUAL	0	815.0	0	0	0	1
QUAL	0	822.0	1	0	1	0
QUAL	0	824.0	1	1	0	0
QUAL	0	832.0	0	0	0	1
QUAL	0	835.0	0	0	0	1
QUAL	0	839.0	1	1	0	0
QUAL	0	841.0	0	0	0	1
QUAL	0	843.0	0	0	0	1
QUAL	0	845.0	0	0	0	1
QUAL	0	847.0	0	0	0	1
QUAL	0	850.0	0	0	0	1
QUAL	0	862.0	0	0	0	1
QUAL	0	868.0	0	0	0	1
QUAL	0	877.0	0	0	0	1
QUAL	0	878.0	0	0	0	1
QUAL	0	879.0	0	0	0	1
QUAL	0	883.0	0	0	0	1
QUAL	0	885.0	0	0	0	1
QUAL	0	886.0	0	0	0	1
QUAL	0	893.0	1	0	1	1
QUAL	0	901.0	1	0	1	1
QUAL	0	915.0	0	0	0	1
QUAL	0	922.0	0	0	0	1
QUAL	0	924.0	0	0	0	1
QUAL	0	931.0	0	0	0	1
QUAL	0	935.0	0	0	0	1
QUAL	0	938.0	0	0	0	1
QUAL	0	944.0	0	0	0	1
QUAL	0	951.0	0	0	0	1
QUAL	0	954.0	0	0	0	1
QUAL	0	966.0	0	0	0	1
QUAL	0	971.0	1	1	0	0
QUAL	0	976.0	0	0	0	1
QUAL	0	977.0	0	0	0	1
QUAL	0	995.0	1	1	0	0
QUAL	0	998.0	0	0	0	1
QUAL	0	1002.0	1	1	0	0
QUAL	0	1017.0	0	0	0	1
QUAL	0	1027.0	0	0	0	1
QUAL	0	1028.0	0	0	0	1
QUAL	0	1029.0	0	0	0	1
QUAL	0	1030.0	0	0	0	1
QUAL	0	1031.0	0	0	0	1
QUAL	0	1032.0	1	1	0	0
QUAL	0	1034.0	0	0	0	1
QUAL	0	1035.0	0	0	0	2
QUAL	0	1037.0	0	0	0	1
QUAL	0	1048.0	0	0	0	1
QUAL	0	1056.0	0	0	0	1
QUAL	0	1062.0	1	1	0	0
QUAL	0	1065.0	0	0	0	2
QUAL	0	1069.0	0	0	0	1
QUAL	0	1070.0	0	0	0	1
QUAL	0	1073.0	0	0	0	2
QUAL	0	1076.0	1	1	0	0
QUAL	0	1079.0	0	0	0	1
QUAL	0	1082.0	0	0	0	1
QUAL	0	1083.0	0	0	0	1
QUAL	0	1085.0	1	1	0	0
QUAL	0	1093.0	0	0	0	1
QUAL	0	1100.0	1	1	0	0
QUAL	0	1108.0	0	0	0	1
QUAL	0	1111.0	1	0	1	0
QUAL	0	1115.0	1	1	0	0
QUAL	0	1123.0	1	1	0	1
QUAL	0	1134.0	1	1	0	0
QUAL	0	1141.0	0	0	0	1
QUAL	0	1142.0	0	0	0	1
QUAL	0	1144.0	0	0	0	1
QUAL	0	1145.0	0	0	0	1
QUAL	0	1147.0	0	0	0	1
QUAL	0	1149.0	2	2	0	0
QUAL	0	1153.0	0	0	0	1
QUAL	0	1155.0	2	1	1	1
QUAL	0	1156.0	2	1	1	1
QUAL	0	1161.0	1	1	0	0
QUAL	0	1162.0	1	0	1	1
QUAL	0	1163.0	0	0	0	1
QUAL	0	1164.0	0	0	0	1
QUAL	0	1165.0	1	0	1	0
QUAL	0	1168.0	1	1	0	0
QUAL	0	1172.0	1	1	0	0
QUAL	0	1176.0	1	1	0	0
QUAL	0	1180.0	0	0	0	1
QUAL	0	1181.0	1	1	0	0
QUAL	0	1186.0	1	1	0	0
QUAL	0	1189.0	1	1	0	0
QUAL	0	1190.0	0	0	0	1
QUAL	0	1191.0	1	1	0	0
QUAL	0	1193.0	0	0	0	1
QUAL	0	1195.0	0	0	0	1
QUAL	0	1196.0	1	1	0	0
QUAL	0	1198.0	0	0	0	1
QUAL	0	1199.0	1	1	0	1
QUAL	0	1200.0	1	1	0	2
QUAL	0	1201.0	0	0	0	2
QUAL	0	1204.0	2	1	1	0
QUAL	0	1207.0	2	2	0	0
QUAL	0	1208.0	0	0	0	1
QUAL	0	1211.0	1	1	0	0
QUAL	0	1214.0	0	0	0	1
QUAL	0	1217.0	2	1	1	0
QUAL	0	1220.0	2	1	1	0
QUAL	0	1222.0	0	0	0	3
QUAL	0	1223.0	1	1	0	0
QUAL	0	1224.0	0	0	0	1
QUAL	0	1225.0	1	1	0	0
QUAL	0	1230.0	0	0	0	1
QUAL	0	1231.0	2	1	1	0
QUAL	0	1233.0	1	1	0	0
QUAL	0	1236.0	0	0	0	1
QUAL	0	1237.0	2	1	1	1
QUAL	0	1238.0	2	2	0	0
QUAL	0	1239.0	1	0	1	0
QUAL	0	1241.0	1	1	0	2
QUAL	0	1245.0	1	1	0	0
QUAL	0	1246.0	0	0	0	1
QUAL	0	1248.0	1	1	0	0
QUAL	0	1250.0	1	0	1	0
QUAL	0	1255.0	0	0	0	1
QUAL	0	1256.0	1	1	0	0
QUAL	0	1257.0	1	0	1	1
QUAL	0	1259.0	0	0	0	1
QUAL	0	1260.0	1	1	0	1
QUAL	0	1261.0	1	1	0	1
QUAL	0	1262.0	1	1	0	1
QUAL	0	1263.0	2	0	2	1
QUAL	0	1265.0	1	1	0	1
QUAL	0	1267.0	1	0	1	2
QUAL	0	1269.0	1	1	0	0
QUAL	0	1270.0	1	1	0	0
QUAL	0	1272.0	2	2	0	2
QUAL	0	1273.0	2	2	0	1
QUAL	0	1274.0	1	0	1	0
QUAL	0	1275.0	1	0	1	0
QUAL	0	1276.0	1	1	0	0
QUAL	0	1281.0	1	1	0	0
QUAL	0	1282.0	1	0	1	0
QUAL	0	1283.0	1	0	1	0
QUAL	0	1284.0	1	1	0	2
QUAL	0	1285.0	0	0	0	1
QUAL	0	1286.0	1	1	0	1
QUAL	0	1287.0	1	0	1	0
QUAL	0	1288.0	2	2	0	0
QUAL	0	1290.0	1	1	0	1
QUAL	0	1291.0	1	1	0	0
QUAL	0	1295.0	1	1	0	0
QUAL	0	1296.0	2	1	1	1
QUAL	0	1297.0	3	1	2	0
QUAL	0	1298.0	1	1	0	1
QUAL	0	1300.0	2	2	0	0
QUAL	0	1302.0	2	1	1	0
QUAL	0	1303.0	1	0	1	0
QUAL	0	1306.0	1	1	0	0
QUAL	0	1307.0	1	1	0	1
QUAL	0	1308.0	0	0	0	1
QUAL	0	1309.0	1	0	1	1
QUAL	0	1311.0	2	0	2	0
QUAL	0	1313.0	4	2	2	0
QUAL	0	1314.0	1	1	0	0
QUAL	0	1315.0	1	1	0	0
QUAL	0	1316.0	1	0	1	0
QUAL	0	1318.0	0	0	0	1
QUAL	0	1319.0	1	1	0	1
QUAL	0	1320.0	2	1	1	0
QUAL	0	1321.0	1	1	0	0
QUAL	0	1323.0	1	1	0	1
QUAL	0	1325.0	0	0	0	2
QUAL	0	1326.0	4	3	1	1
QUAL	0	1327.0	1	1	0	1
QUAL	0	1328.0	1	1	0	0
QUAL	0	1329.0	1	0	1	0
QUAL	0	1330.0	1	1	0	0
QUAL	0	1331.0	1	0	1	1
QUAL	0	1332.0	1	1	0	0
QUAL	0	1333.0	1	1	0	1
QUAL	0	1335.0	1	1	0	0
QUAL	0	1336.0	1	0	1	0
QUAL	0	1337.0	1	1	0	0
QUAL	0	1338.0	1	0	1	0
QUAL	0	1339.0	2	2	0	0
QUAL	0	1343.0	0	0	0	1
QUAL	0	1344.0	3	1	2	0
QUAL	0	1345.0	1	1	0	0
QUAL	0	1346.0	0	0	0	1
QUAL	0	1347.0	1	1	0	1
QUAL	0	1348.0	1	1	0	0
QUAL	0	1349.0	2	0	2	0
QUAL	0	1350.0	2	2	0	0
QUAL	0	1351.0	2	1	1	0
QUAL	0	1352.0	2	1	1	0
QUAL	0	1353.0	1	0	1	0
QUAL	0	1354.0	1	1	0	0
QUAL	0	1355.0	0	0	0	1
QUAL	0	1356.0	0	0	0	1
QUAL	0	1358.0	1	0	1	2
QUAL	0	1359.0	2	1	1	1
QUAL	0	1360.0	4	4	0	2
QUAL	0	1361.0	1	0	1	0
QUAL	0	1362.0	2	1	1	1
QUAL	0	1363.0	1	1	0	0
QUAL	0	1364.0	1	0	1	0
QUAL	0	1365.0	2	2	0	1
QUAL	0	1366.0	2	1	1	3
QUAL	0	1367.0	1	1	0	0
