Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,68,36,32,60,14,10,2,1,0.529412,0.72,0.166667,0.610169,,,2.526315789473684,1.7272727272727273
INDEL,PASS,68,36,32,60,14,10,2,1,0.529412,0.72,0.166667,0.610169,,,2.526315789473684,1.7272727272727273
SNP,ALL,913,680,233,828,63,85,34,0,0.744797,0.915209,0.102657,0.821256,2.808333333333333,2.68,2.2455516014234878,1.4790419161676647
SNP,PASS,913,680,233,828,63,85,34,0,0.744797,0.915209,0.102657,0.821256,2.808333333333333,2.68,2.2455516014234878,1.4790419161676647
